# This list is organised by the country a card WORKS IN, which is not
# where it was issued and not a property of the BIN. Read as an issuing
# country it attributes Russian-issued BINs to Afghanistan.
# bintel: Pays = accepted_in
#
# Emetteur IS the issuer — confirmed by the list's maintainer. Where it
# disagrees with a public dataset about who issues a BIN, that is a real
# disagreement between two sources and not a difference of meaning, so it
# is recorded as a conflict rather than reconciled by remapping.
BIN	Pays	Emetteur	Marque	Type	Niveau
463769	AFGHANISTAN	AFGHAN UNITED BANK	VISA	DEBIT	GOLD
466523	AFGHANISTAN	AFGHAN UNITED BANK	VISA	DEBIT	PREPAID GOLD
404059	AFGHANISTAN	AFGHANISTAN INTERNATIONAL BANK	VISA	DEBIT	PLATINUM
417628	AFGHANISTAN	AFGHANISTAN INTERNATIONAL BANK	VISA	DEBIT	PREPAID CLASSIC
436587	AFGHANISTAN	AFGHANISTAN INTERNATIONAL BANK	VISA	DEBIT	
473174	AFGHANISTAN	AFGHANISTAN INTERNATIONAL BANK	VISA	CREDIT	CLASSIC
551270	AFGHANISTAN	AZIZI BANK	MASTERCARD	DEBIT	STANDARD
422110	AFGHANISTAN	BANK ALFALAH, LTD.	VISA	CREDIT	CLASSIC
422178	AFGHANISTAN	BANK ALFALAH, LTD.	VISA	CREDIT	GOLD
486244	AFGHANISTAN	BANK ALFALAH, LTD.	VISA	DEBIT	CLASSIC
552374	AFGHANISTAN	CSCBANK S.A.L.	MASTERCARD	CREDIT	WORLD
271002	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	STANDARD
521414	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	STANDARD
523477	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	TITANIUM
524213	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	TITANIUM
524262	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	TITANIUM
529612	AFGHANISTAN	CSCBANK SAL	MASTERCARD	DEBIT	TITANIUM
530396	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	WORLD
530525	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	STANDARD
540201	AFGHANISTAN	CSCBANK SAL	MASTERCARD	CREDIT	STANDARD
